Location Description,Count
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,10
TRUCK,9
CHA LOBBY,9
MOTEL,7
WOODED AREA,7
DUMPSTER,7
LAKE,6
RIVER BANK,6
NURSING HOME,6
CHURCH,6
TAXI CAB,6
TRAILER,4
CHA PLAY LOT,4
RIVER,4
CHA ELEVATOR,3
HORSE STABLE,3
YMCA,3
SEWER,3
COACH HOUSE,3
CHA BREEZEWAY,3
PUBLIC GRAMMAR SCHOOL,2
BANQUET HALL,2
CTA SUBWAY STATION,2
ELEVATOR,2
ROOMING HOUSE,2
GOVERNMENT BUILDING,2
LAUNDRY ROOM,2
PUBLIC HIGH SCHOOL,2
CHURCH PROPERTY,2
FACTORY,2
PRAIRIE,2
COUNTY JAIL,2
LIVERY STAND OFFICE,2
POLICE FACILITY,1
ROOF,1
BEACH,1
LAGOON,1
EXPRESSWAY EMBANKMENT,1
CLEANERS/LAUNDROMAT,1
POOLROOM,1
LIVERY AUTO,1
TRUCKING TERMINAL,1
FUNERAL PARLOR,1
JUNK YARD/GARBAGE DUMP,1
LOADING DOCK,1
