2001	485962
2002	486832
2003	475999
2004	469443
2005	453789
2006	448198
2007	437109
2008	427218
2009	392866
2010	370568
2011	352058
2012	336375
2013	307620
2014	275880
2015	264893
2016	269968
2017	269291
2018	269156
2019	261709
2020	212717
2021	209677
2022	240030
2023	263305
2024	259061
2025	236899
2026	48875
