Feature,Importance
DomesticInt,0.43010223409764836
LocDescIndex,0.39023126521144813
Hour,0.05233792435113586
Ward,0.04770628860969532
Community Area,0.044384348456812245
District,0.03054401398484004
DayOfWeek,0.0026669519310253097
Month,0.0020269733573947545
